City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kourou,5.1552,-52.6478,23.03,89,24,2.74,GF,1689650288
1,bardai,11.65,7.2333,23.79,77,93,3.21,NG,1689650288
2,kamaishi,39.2667,141.8833,24.27,89,100,4.12,JP,1689650289
3,waitangi,-43.9535,-176.5597,12.12,87,59,6.26,NZ,1689650289
4,esmeralda,21.8525,-78.1169,26.66,84,7,3.45,CU,1689650289
5,remire-montjoly,4.9167,-52.2667,23.02,100,9,0.0,GF,1689650289
6,college,64.8569,-147.8028,26.44,45,40,5.66,US,1689650289
7,bethel,41.3712,-73.414,24.2,86,83,1.27,US,1689650289
8,okahandja,-21.9833,16.9167,8.85,36,0,2.65,NA,1689650290
9,kapa'a,22.0752,-159.319,29.18,69,40,6.17,US,1689650290
10,antonio enes,-16.2325,39.9086,21.9,76,46,4.14,MZ,1689650291
11,zwiesel,49.0167,13.2333,15.93,69,32,1.29,DE,1689649718
12,wailua homesteads,22.0669,-159.378,28.44,70,40,6.17,US,1689650291
13,san mariano,7.5,126.0,23.33,95,100,0.98,PH,1689650291
14,bredasdorp,-34.5322,20.0403,11.75,94,2,1.93,ZA,1689650291
15,vilyuchinsk,52.9306,158.4028,25.15,76,22,4.8,RU,1689650292
16,ringkobing,56.0901,8.244,13.34,76,14,7.73,DK,1689650292
17,utrik,11.2278,169.8474,28.06,78,19,6.98,MH,1689650292
18,hammerfest,70.6634,23.6821,13.25,94,100,1.54,NO,1689650292
19,fortuna,40.5982,-124.1573,17.74,83,75,6.17,US,1689649693
20,port-aux-francais,-49.35,70.2167,4.87,82,73,12.85,TF,1689650292
21,hilo,19.7297,-155.09,27.85,80,40,5.66,US,1689650292
22,talnakh,69.4865,88.3972,14.21,91,100,4.41,RU,1689650293
23,arrifes,37.7667,-25.7,18.14,77,75,2.06,PT,1689650293
24,zhaotong,27.3167,103.7167,21.24,58,0,3.81,CN,1689650293
25,hanceville,34.0607,-86.7675,24.95,73,0,0.93,US,1689650293
26,petropavlovsk-kamchatsky,53.0452,158.6483,24.33,50,20,6.0,RU,1689650293
27,carnarvon,-24.8667,113.6333,19.9,38,1,0.89,AU,1689650294
28,port mathurin,-19.6833,63.4167,22.91,83,94,12.31,MU,1689650294
29,jamestown,42.097,-79.2353,19.8,94,75,1.54,US,1689650294
